"time","01M","03M","06M","01Y","02Y","05Y","07Y","10Y","20Y","30Y"
"2007-02-01",3.55651434192638,3.62340405749255,3.70761374216166,3.83230461540161,3.9762849404262,4.11886622420938,4.1496013391212,4.1727550399408,4.1997768785891,4.20878419525391
"2007-02-04",3.58818072382573,3.62927546546476,3.68439387400453,3.77505727988367,3.90030810043957,4.06486576823151,4.10804919198933,4.14177099645689,4.18148075805301,4.19472430352398
"2007-02-05",3.56656998318485,3.61318387361509,3.67465643381101,3.77293237529347,3.90207156375322,4.05768709794443,4.09576479583285,4.12498804665513,4.15921613600203,4.17062716503423
"2007-02-06",3.59192141627342,3.63359241638558,3.68882823910512,3.77789466318188,3.89669755687188,4.04351697395053,4.08015265865254,4.10839141946093,4.1415055269605,4.15254594099203
"2007-02-07",3.59438129662236,3.63952740886518,3.6984868749806,3.79122302946651,3.90970304572569,4.04605877185287,4.07831557195506,4.10291021391582,4.13167217112821,4.14126015690926
"2007-02-08",3.5492186630754,3.62654009885979,3.71898379392044,3.84502369903394,3.97285184672457,4.08076144868756,4.10247128537674,4.1187638396987,4.13777220363544,4.14410832539809
"2007-02-11",3.55356558560226,3.6257923155624,3.71525851000185,3.84430330649675,3.98713614247831,4.12087075630132,4.14891157427744,4.16999324556443,4.19459201290702,4.2027916115824
"2007-02-12",3.55854690193295,3.63382887159026,3.72658412607141,3.85923305324046,4.00407219514278,4.13737382232977,4.1651082413131,4.18595032916206,4.21026867169231,4.21837479207845
"2007-02-13",3.56810658022203,3.6403868638997,3.73040528382761,3.86138415069081,4.00839617686941,4.1485513396092,4.17818930788832,4.20048386889349,4.22649912895556,4.235170897723
"2007-02-14",3.57769026612267,3.64391946780688,3.72680705228868,3.848369791483,3.98656687151061,4.12055951737121,4.14913007498666,4.17063435863534,4.19572888177553,4.20409374448909
"2007-02-15",3.58620318046469,3.64757762865227,3.72408904618777,3.8355919783182,3.96106457183969,4.08108740416173,4.10650944732388,4.12563480046941,4.1479521831816,4.15539132504284
"2007-02-18",3.56990880313538,3.64379010689236,3.7328808327325,3.85599851430966,3.98344971339905,4.09352613523547,4.11585043316405,4.13260823720721,4.15215964266595,4.15867677873208
"2007-02-19",3.52070721413722,3.67115093246398,3.81531801858099,3.958303344306,4.05563412501316,4.11734300839294,4.12911226187274,4.13793920249666,4.14823729989168,4.15166999902336
"2007-02-20",3.52136036310979,3.66993935416782,3.81102176766337,3.94927582812431,4.04226669244523,4.10095363742568,4.11214411485713,4.12053697321726,4.13032864130425,4.13359253066659
"2007-02-21",3.53315322884473,3.68544387820938,3.82605988152644,3.95906241808412,4.04562716098662,4.09965643335797,4.1099544913955,4.11767803500704,4.12668883588721,4.1296924361806
"2007-02-22",3.58988890950289,3.68904736487123,3.79949490313049,3.93462739969944,4.05206841879551,4.13782947194739,4.15444845810988,4.16691315319198,4.18145530269575,4.18630268586474
"2007-02-25",3.49302017877366,3.67523523706988,3.83058965753515,3.96408925016336,4.04435379393758,4.09341324004977,4.10275922850358,4.1097687198455,4.11794645974441,4.12067237304404
"2007-02-26",3.66439681665438,3.71361514408862,3.77423752992854,3.86088825062201,3.95542448000078,4.04234187078438,4.06041770779059,4.07400116895085,4.08985018941053,4.0951332001819
"2007-02-27",3.7152970110055,3.72430127805268,3.73733249234786,3.76178202345764,3.80490675232425,3.89912755728458,3.94157771846809,3.98627033946424,4.05686448436093,4.08389999515996
"2007-02-28",3.70876204385057,3.72319802939882,3.74368825592443,3.78084196999062,3.8422284202741,3.95764252554434,4.00121948810805,4.04162527440204,4.09560835693673,4.11424731366897
"2007-03-01",3.71092307101316,3.72269336607712,3.73959789235839,3.77088981959134,3.82466861937823,3.93522454192047,3.98153904436051,4.02767774475091,4.09494269675614,4.11927248774557
"2007-03-04",3.7108636710507,3.71894218777911,3.73074015635034,3.75323434387751,3.79416746565091,3.89059335282354,3.93820116221273,3.99221911206614,4.08896146570376,4.13051298857548
"2007-03-05",3.72916751060491,3.73552815548392,3.74486026233552,3.76279947581865,3.79597122712593,3.87726785044988,3.91940681460418,3.96926843468856,4.06587135703729,4.111064782274
"2007-03-06",3.72699914380637,3.73520239757129,3.74714754631223,3.76980447678262,3.81061915782248,3.90442564652615,3.94936587530525,3.9990859720314,4.08425549256841,4.11926498336168
